,Unnamed: 0,index,Unnamed: 0.1,lien,Modèle,Kilométrage,Année,data de MàJ,Carrosserie,Energie,Puissance,Boite,Couleur,Description,Prix,marque,vehicule,model
20,20,20,20,https://www.automobile.tn/fr/occasion/renault/captur/47127,Renault Captur Intens ,65280.0,2016,2019-10-29,Compacte,Essence,6,Manuelle,Bleu,"  Antibrouillards   Détecteur de luminosité   Détecteur de pluie   Fermeture centralisée   Feux à LED   Jantes en alliage   Peinture métallisée   Phares au xénon   Radar de recul   Rétroviseurs électriques   Rétroviseurs rabattables   Vitres teintées    Accoudoir avant   Autoradio   Bluetooth   Bouton Start & Stop   Caméra de recul   Climatisation   Climatronic   Connectivité Aux, usb, iPod   Direction assistée   GPS   Ordinateur de bord   Régulateur de vitesse   Sièges réglables en hauteur   Vitres électriques   Vitres teintées   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",49000.0,Renault,Capture,Captur
21,21,21,21,https://www.automobile.tn/fr/occasion/fiat/500/46532,Fiat 500 kit GUCCI ,131329.0,2013,2019-01-10,Compacte,Essence,4,Manuelle,Blanc,"  Antibrouillards   Fermeture centralisée   Jantes en alliage   Peinture métallisée   Rétroviseurs rabattables   Toit panoramique   Vitres teintées    Autoradio   Autoradio CD   Autoradio CD/Mp3   Bluetooth   Climatisation   Climatronic   Connectivité Aux, usb, iPod   Direction assistée   Ordinateur de bord   Sellerie en cuir   Sièges réglables en hauteur   Vitres électriques   Vitres teintées   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",35000.0,Fiat,500C,500
22,22,22,22,https://www.automobile.tn/fr/occasion/volkswagen/polo/48204,Volkswagen Polo 7 ,103678.83985713057,2016,2019-12-25,Citadine,Essence,4,Manuelle,Noir,"  Antibrouillards   Fermeture centralisée   Rétroviseurs électriques    Autoradio   Autoradio CD   Autoradio CD/Mp3   Boîte à gants réfrigérée   Climatisation   Connectivité Aux, usb, iPod   Direction assistée   Ordinateur de bord   Sièges réglables en hauteur   Vitres électriques   Volant/levier de vitesse en cuir   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",30500.0,Volkswagen,Vento,Polo
23,23,23,23,https://www.automobile.tn/fr/occasion/renault/twingo/46531,Renault Twingo Toit ouverant ,112000.0,2014,2019-01-10,Compacte,Essence,4,Manuelle,Bleu,"  Antibrouillards   Fermeture centralisée   Feux à LED   Peinture métallisée   Rétroviseurs rabattables   Toit ouvrant   Vitres teintées    Autoradio   Autoradio CD   Autoradio CD/Mp3   Bluetooth   Climatisation   Connectivité Aux, usb, iPod   Direction assistée   Ordinateur de bord   Régulateur de vitesse   Sièges réglables en hauteur   Vitres électriques   Vitres teintées   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",34000.0,Renault,Twingo,Twingo
24,24,24,24,https://www.automobile.tn/fr/occasion/fiat/500/46672,Fiat 500 ,101151.0,2015,2019-07-10,Citadine,Essence,4,Manuelle,Blanc,"  Antibrouillards   Fermeture centralisée   Jantes en alliage   Peinture métallisée   Rétroviseurs rabattables   Toit panoramique   Vitres teintées    Autoradio   Autoradio CD   Autoradio CD/Mp3   Bluetooth   Climatisation   Climatronic   Connectivité Aux, usb, iPod   Direction assistée   Ordinateur de bord   Sièges réglables en hauteur   Vitres électriques   Vitres teintées   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",35000.0,Fiat,500,500
25,25,25,25,https://www.automobile.tn/fr/occasion/alfa-romeo/giulietta/45924,Alfa Romeo Giulietta ,161342.0,2010,2019-08-29,Compacte,Essence,7,Manuelle,Bleu,  Antibrouillards   Fermeture centralisée   Feux à LED   Jantes en alliage   Peinture métallisée   Phares au xénon   Radar de recul   Rétroviseurs électriques   Rétroviseurs rabattables    Accoudoir avant   Accoudoir arrière   Autoradio   Autoradio CD   Autoradio CD/Mp3   Bluetooth   Climatisation   Climatronic   Direction assistée   Ordinateur de bord   Régulateur de vitesse   Sièges réglables en hauteur   Vitres électriques   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ,37000.0,Alfa Romeo,Giulietta,Giulietta
26,26,26,26,https://www.automobile.tn/fr/occasion/citroen/berlingo-utilitaire/49099,Citroën Berlingo Utilitaire B9 ,128257.1318166451,2010,2020-05-02,Utilitaire,Diesel,5,Manuelle,Blanc,  Fermeture centralisée   Rétroviseurs rabattables    Autoradio   Autoradio CD   Autoradio CD/Mp3   Direction assistée   Régulateur de vitesse   Vitres électriques   Volant/levier de vitesse en cuir   Volant réglable hauteur/profondeur  ,29300.0,Citroen,Berlingo,Berlingo
27,27,27,27,https://www.automobile.tn/fr/occasion/renault/mascott/47956,Renault Mascott ,133269.1173287274,2001,2019-12-12,Utilitaire,Diesel,16,Manuelle,Blanc,,35000.0,Renault,Mascott,Mascott
28,28,28,28,https://www.automobile.tn/fr/occasion/toyota/previa/45903,Toyota Previa 7 PLACES ,152222.0,2003,2019-08-28,Monospace,Essence,11,Manuelle,Bleu,  Fermeture centralisée   Rétroviseurs rabattables    Autoradio   Climatisation   Direction assistée   Vitres électriques   Volant/levier de vitesse en cuir   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ,32000.0,Toyota,Previa,Previa
30,30,30,30,https://www.automobile.tn/fr/occasion/mini/5-portes/43165,Mini 5 portes ONE KIT JCW BVA TOIT XÉNON ,100524.12261708724,2017,2019-04-03,Compacte,Essence,5,Automatique,Blanc,"  Antibrouillards   Détecteur de luminosité   Détecteur de pluie   Fermeture centralisée   Feux à LED   Jantes en alliage   Lave Phares   Peinture métallisée   Phares au xénon   Radar de recul   Rétroviseurs électriques   Rétroviseurs rabattables   Toit ouvrant   Toit panoramique   Vitres teintées    Accoudoir avant   Accoudoir arrière   Autoradio   Autoradio CD   Autoradio CD/Mp3   Bluetooth   Boîte à gants réfrigérée   Bouton Start & Stop   Caméra de recul   Chargeur CD   Climatisation   Climatronic   Connectivité Aux, usb, iPod   Direction assistée   GPS   Ordinateur de bord   Palettes au volant   Régulateur de vitesse   Sellerie en cuir   Sièges réglables en hauteur   Sièges électriques   Sièges chauffants   Vitres électriques   Vitres teintées   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",45125.0,mini,One,One
