,lien, Marque , Modèle , Mise en circulation , Energie , Boite vitesse , kilométrage, Puissance fiscal, Etat du véhicule ,date annonce,Prix
56,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2014-mercedes-cla250-bva-17806,Mercedes,CLA,09-2014,Essence,Automatique,80000 Km,13 CV,Excellent,23 Mai 2020,129000
57,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2015-bmw-420i-grand-coupe-bva-17807,BMW,SERIE 5 ,05-2015,Essence,Automatique,54000 Km,10 CV,Excellent,22 Mai 2020,127000
58,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2009-audi-a4-tdi-bva-17815,Audi,A4,06-2009,Diesel,Manuelle,206000 Km,8 CV,Excellent,22 Mai 2020,43000
59,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2017-volkswagen-golf-7-bvm6-17788,Volkswagen,Golf 7,09-2017,Essence,Manuelle,25000 Km,6 CV,Excellent,22 Mai 2020,67000
60,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2013-hyundai-veloster-bva-17976,Hyundai,Veloster,10-2013,Essence,Automatique,86000 Km,8 CV,Excellent,22 Mai 2020,46500
61,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2009-volkswagen-golf-6-essence-gaz-17974,Volkswagen,Golf 6,09-2009,Essence,Manuelle,209000 Km,6 CV,Excellent,22 Mai 2020,34500
62,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/1999-nissan-patrol-17973,Nissan,Patrol,12-1999,Diesel,Manuelle,326000 Km,11 CV,Excellent,22 Mai 2020,45500
63,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2017-ssangyong-xlv-1ere-main-17866,Ssangyong ,Actyon,04-2017,Essence,Manuelle,91000 Km,7 CV,Excellent,22 Mai 2020,62000
64,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2011-volkswagen-tiguan-tdi-bva-18003,Volkswagen,Tiguan,05-2011,Diesel,Automatique,191000 Km,8 CV,Excellent,22 Mai 2020,54000
65,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/tap680-bmw-316i-kit-m-toit-ouvrant-17270,BMW,SERIE 3 ,11-2014,Essence,Automatique,105000 Km,7 CV,Excellent,22 Mai 2020,109000
66,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2018-peugeot-208-toit-pano-1ere-main-17776,Peugeot,208,01-2018,Essence,Manuelle,45000 Km,5 CV,Excellent,22 Mai 2020,42000
67,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2016-citroen-nemo-17774,Citroen,Nemo,10-2016,Diesel,Manuelle,89000 Km,5 CV,Excellent,22 Mai 2020,25500
68,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2017-volkswagen-golf-7-smartline-1ere-main-17921,Volkswagen,Golf 7,11-2017,Essence,Manuelle,70000 Km,6 CV,Excellent,22 Mai 2020,69900
69,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2001-mercedes-c200-bva-17770,Mercedes,Classe C,07-2001,Essence,Automatique,259000 Km,11 CV,Excellent,22 Mai 2020,28900
70,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2015-peugeot-boxer-7places-1ere-main-17768,Peugeot,Bipper Tepee,09-2015,Diesel,Manuelle,109000 Km,7 CV,Excellent,22 Mai 2020,49500
